Country,player_cap,Coach,player_pos,player_name
Germany,26,Joachim Low,MF,Ilkay Gundogan
Germany,20,Joachim Low,GK,Marc-Andre ter Stegen
Germany,75,Joachim Low,FW,Mario Gomez
Mexico,52,Juan Carlos Osorio,GK,Jose de Jesus Corona
Mexico,43,Juan Carlos Osorio,DF,Hugo Ayala
Mexico,21,Juan Carlos Osorio,DF,Carlos Salcedo
Mexico,145,Juan Carlos Osorio,DF,Rafael Marquez
Mexico,9,Juan Carlos Osorio,MF,Erick Gutierrez
Mexico,32,Juan Carlos Osorio,MF,Jonathan dos Santos
Mexico,64,Juan Carlos Osorio,MF,Miguel Layun
Mexico,39,Juan Carlos Osorio,FW,Marco Fabian
Mexico,63,Juan Carlos Osorio,FW,Raul Jimenez
Mexico,105,Juan Carlos Osorio,MF,Giovani dos Santos
Mexico,68,Juan Carlos Osorio,FW,Carlos Vela
Mexico,27,Juan Carlos Osorio,GK,Alfredo Talavera
Mexico,94,Juan Carlos Osorio,GK,Guillermo Ochoa
Mexico,102,Juan Carlos Osorio,FW,Javier Hernandez
Mexico,92,Juan Carlos Osorio,DF,Hector Moreno
Mexico,66,Juan Carlos Osorio,DF,Hector Herrera
Mexico,36,Juan Carlos Osorio,MF,Jesus Manuel Corona
Mexico,145,Juan Carlos Osorio,MF,Andres Guardado
Mexico,67,Juan Carlos Osorio,FW,Oribe Peralta
Mexico,53,Juan Carlos Osorio,MF,Javier Aquino
Mexico,13,Juan Carlos Osorio,DF,Edson Alvarez
Mexico,28,Juan Carlos Osorio,FW,Hirving Lozano
Mexico,23,Juan Carlos Osorio,MF,Jesus Gallardo
South Korea,33,Shin Tae-yong,GK,Kim Seung-gyu
South Korea,28,Shin Tae-yong,DF,Lee Yong
South Korea,6,Shin Tae-yong,DF,Jung Seung-hyun
South Korea,2,Shin Tae-yong,DF,Oh Ban-suk
South Korea,6,Shin Tae-yong,DF,Yun Young-sun
South Korea,36,Shin Tae-yong,DF,Park Joo-ho
South Korea,67,Shin Tae-yong,FW,Son Heung-min
South Korea,11,Shin Tae-yong,MF,Ju Se-jong
South Korea,50,Shin Tae-yong,FW,Kim Shin-wook
South Korea,4,Shin Tae-yong,MF,Lee Seung-woo
South Korea,14,Shin Tae-yong,FW,Hwang Hee-chan
South Korea,20,Shin Tae-yong,DF,Kim Min-woo
South Korea,68,Shin Tae-yong,MF,Koo Ja-cheol
South Korea,14,Shin Tae-yong,DF,Hong Chul
South Korea,30,Shin Tae-yong,MF,Jung Woo-young
South Korea,102,Shin Tae-yong,MF,Ki Sung-yueng
South Korea,35,Shin Tae-yong,MF,Lee Jae-sung
South Korea,3,Shin Tae-yong,MF,Moon Seon-min
South Korea,53,Shin Tae-yong,DF,Kim Young-gwon
South Korea,51,Shin Tae-yong,DF,Jang Hyun-soo
South Korea,15,Shin Tae-yong,GK,Kim Jin-hyeon
South Korea,20,Shin Tae-yong,DF,Go Yo-han
South Korea,6,Shin Tae-yong,GK,Cho Hyun-woo
Sweden,18,Janne Andersson,GK,Robin Olsen
Sweden,66,Janne Andersson,DF,Mikael Lustig
Sweden,21,Janne Andersson,DF,Victor Lindelof
Sweden,72,Janne Andersson,DF,Andreas Granqvist
Sweden,43,Janne Andersson,DF,Martin Olsson
Sweden,15,Janne Andersson,DF,Ludwig Augustinsson
Sweden,100,Janne Andersson,MF,Sebastian Larsson
Sweden,34,Janne Andersson,MF,Albin Ekdal
Sweden,57,Janne Andersson,FW,Marcus Berg
Sweden,36,Janne Andersson,MF,Emil Forsberg
Sweden,20,Janne Andersson,FW,John Guidetti
Sweden,5,Janne Andersson,GK,Karl-Johan Johnsson
Sweden,13,Janne Andersson,MF,Gustav Svensson
Sweden,4,Janne Andersson,DF,Filip Helander
Sweden,22,Janne Andersson,MF,Oscar Hiljemark
Sweden,13,Janne Andersson,DF,Emil Krafth
Sweden,22,Janne Andersson,MF,Viktor Claesson
Sweden,15,Janne Andersson,DF,Pontus Jansson
Sweden,12,Janne Andersson,MF,Marcus Rohden
Sweden,59,Janne Andersson,FW,Ola Toivonen
Sweden,45,Janne Andersson,MF,Jimmy Durmaz
Sweden,20,Janne Andersson,FW,Isaac Kiese Thelin
Sweden,8,Janne Andersson,GK,Kristoffer Nordfeldt
Belgium,58,Roberto Martinez,GK,Thibaut Courtois
Belgium,77,Roberto Martinez,DF,Toby Alderweireld
Belgium,66,Roberto Martinez,DF,Thomas Vermaelen
Belgium,77,Roberto Martinez,DF,Vincent Kompany
Belgium,102,Roberto Martinez,DF,Jan Vertonghen
Belgium,90,Roberto Martinez,MF,Axel Witsel
Belgium,62,Roberto Martinez,MF,Kevin De Bruyne
Belgium,82,Roberto Martinez,MF,Marouane Fellaini
Belgium,69,Roberto Martinez,FW,Romelu Lukaku
Belgium,86,Roberto Martinez,FW,Eden Hazard
Belgium,26,Roberto Martinez,MF,Yannick Carrasco
Belgium,21,Roberto Martinez,GK,Simon Mignolet
Belgium,0,Roberto Martinez,GK,Koen Casteels
Belgium,69,Roberto Martinez,FW,Dries Mertens
Belgium,25,Roberto Martinez,DF,Thomas Meunier
Belgium,11,Roberto Martinez,MF,Thorgan Hazard
Belgium,9,Roberto Martinez,MF,Youri Tielemans
Belgium,8,Roberto Martinez,FW,Adnan Januzaj
Belgium,76,Roberto Martinez,MF,Mousa Dembele
Belgium,7,Roberto Martinez,DF,Dedryck Boyata
Belgium,16,Roberto Martinez,FW,Michy Batshuayi
Belgium,45,Roberto Martinez,MF,Nacer Chadli
Belgium,5,Roberto Martinez,DF,Leander Dendoncker
England,3,Gareth Southgate,GK,Jordan Pickford
England,35,Gareth Southgate,DF,Kyle Walker
England,18,Gareth Southgate,DF,Danny Rose
England,26,Gareth Southgate,MF,Eric Dier
England,26,Gareth Southgate,DF,John Stones
England,5,Gareth Southgate,DF,Harry Maguire
England,12,Gareth Southgate,MF,Jesse Lingard
England,39,Gareth Southgate,MF,Jordan Henderson
England,24,Gareth Southgate,FW,Harry Kane
England,38,Gareth Southgate,FW,Raheem Sterling
England,22,Gareth Southgate,FW,Jamie Vardy
England,7,Gareth Southgate,DF,Kieran Trippier
England,8,Gareth Southgate,GK,Jack Butland
England,39,Gareth Southgate,FW,Danny Welbeck
England,60,Gareth Southgate,DF,Gary Cahill
England,25,Gareth Southgate,DF,Phil Jones
England,11,Gareth Southgate,DF,Fabian Delph
England,34,Gareth Southgate,DF,Ashley Young
England,19,Gareth Southgate,FW,Marcus Rashford
England,25,Gareth Southgate,MF,Dele Alli
England,4,Gareth Southgate,MF,Ruben Loftus-Cheek
England,1,Gareth Southgate,DF,Trent Alexander-Arnold
England,1,Gareth Southgate,GK,Nick Pope
Panama,131,Hernan Dario Gomez,GK,Jaime Penedo
Panama,22,Hernan Dario Gomez,DF,Michael Amir Murillo
Panama,52,Hernan Dario Gomez,DF,Harold Cummings
Panama,23,Hernan Dario Gomez,DF,Fidel Escobar
Panama,111,Hernan Dario Gomez,DF,Roman Torres
Panama,144,Hernan Dario Gomez,MF,Gabriel Gomez
Panama,118,Hernan Dario Gomez,FW,Blas Perez
Panama,29,Hernan Dario Gomez,MF,Edgar Barcenas
Panama,72,Hernan Dario Gomez,FW,Gabriel Torres
Panama,11,Hernan Dario Gomez,FW,Ismael Diaz
Panama,98,Hernan Dario Gomez,MF,Armando Cooper
Panama,31,Hernan Dario Gomez,GK,Jose Calderon
Panama,76,Hernan Dario Gomez,DF,Adolfo Machado
Panama,23,Hernan Dario Gomez,MF,Valentin Pimentel
Panama,38,Hernan Dario Gomez,DF,Erick Davis
Panama,33,Hernan Dario Gomez,FW,Abdiel Arroyo
Panama,25,Hernan Dario Gomez,DF,Luis Ovalle
Panama,105,Hernan Dario Gomez,FW,Luis Tejada
Panama,5,Hernan Dario Gomez,MF,Ricardo Avila
Panama,88,Hernan Dario Gomez,MF,Anibal Godoy
Panama,2,Hernan Dario Gomez,MF,Jose Luis Rodriguez
Panama,6,Hernan Dario Gomez,GK,Alex Rodriguez
Panama,102,Hernan Dario Gomez,DF,Felipe Baloy
Tunisia,15,Nabil Maaloul,GK,Farouk Ben Mustapha
Tunisia,42,Nabil Maaloul,DF,Syam Ben Youssef
Tunisia,4,Nabil Maaloul,DF,Yohan Benalouane
Tunisia,16,Nabil Maaloul,DF,Yassine Meriah
Tunisia,9,Nabil Maaloul,DF,Oussama Haddadi
Tunisia,8,Nabil Maaloul,DF,Rami Bedoui
Tunisia,5,Nabil Maaloul,FW,Saif-Eddine Khaoui
Tunisia,39,Nabil Maaloul,FW,Fakhreddine Ben Youssef
Tunisia,7,Nabil Maaloul,MF,Anice Badri
Tunisia,35,Nabil Maaloul,FW,Wahbi Khazri
Tunisia,5,Nabil Maaloul,DF,Dylan Bronn
Tunisia,46,Nabil Maaloul,DF,Ali Maaloul
Tunisia,39,Nabil Maaloul,MF,Ferjani Sassi
Tunisia,26,Nabil Maaloul,MF,Mohamed Amine Ben Amor
Tunisia,3,Nabil Maaloul,FW,Ahmed Khalil
Tunisia,70,Nabil Maaloul,GK,Aymen Mathlouthi
Tunisia,5,Nabil Maaloul,MF,Ellyes Skhiri
Tunisia,5,Nabil Maaloul,FW,Bassem Srarfi
Tunisia,44,Nabil Maaloul,FW,Saber Khalifa
Tunisia,6,Nabil Maaloul,FW,Ghailene Chaalali
Tunisia,15,Nabil Maaloul,DF,Hamdi Nagguez
Tunisia,3,Nabil Maaloul,GK,Mouez Hassen
Tunisia,17,Nabil Maaloul,FW,Naim Sliti
Colombia,86,Jose Pekerman,GK,David Ospina
Colombia,55,Jose Pekerman,DF,Cristian Zapata
Colombia,13,Jose Pekerman,DF,Oscar Murillo
Colombia,41,Jose Pekerman,DF,Santiago Arias
Colombia,10,Jose Pekerman,MF,Wilmar Barrios
Colombia,85,Jose Pekerman,MF,Carlos Sanchez
Colombia,45,Jose Pekerman,FW,Carlos Bacca
Colombia,70,Jose Pekerman,MF,Abel Aguilar
Colombia,73,Jose Pekerman,FW,Radamel Falcao
Colombia,63,Jose Pekerman,MF,James Rodriguez
Colombia,70,Jose Pekerman,MF,Juan Cuadrado
Colombia,5,Jose Pekerman,GK,Camilo Vargas
Colombia,12,Jose Pekerman,DF,Yerry Mina
Colombia,18,Jose Pekerman,FW,Luis Muriel
Colombia,8,Jose Pekerman,MF,Mateus Uribe
Colombia,5,Jose Pekerman,MF,Jefferson Lerma
Colombia,4,Jose Pekerman,DF,Johan Mojica
Colombia,13,Jose Pekerman,DF,Farid Diaz
Colombia,7,Jose Pekerman,FW,Miguel Borja
Colombia,15,Jose Pekerman,MF,Juan Fernando Quintero
Colombia,5,Jose Pekerman,FW,Jose Izquierdo
Colombia,1,Jose Pekerman,GK,Jose Fernando Cuadrado
Colombia,9,Jose Pekerman,DF,Davinson Sanchez
Japan,84,Akira Nishino,GK,Eiji Kawashima
Japan,4,Akira Nishino,DF,Naomichi Ueda
Japan,11,Akira Nishino,DF,Gen Shoji
Japan,95,Akira Nishino,MF,Keisuke Honda
Japan,105,Akira Nishino,DF,Yuto Nagatomo
Japan,12,Akira Nishino,DF,Wataru Endo
Japan,18,Akira Nishino,MF,Gaku Shibasaki
Japan,33,Akira Nishino,MF,Genki Haraguchi
Japan,113,Akira Nishino,FW,Shinji Okazaki
Japan,92,Akira Nishino,MF,Shinji Kagawa
Japan,24,Akira Nishino,MF,Takashi Usami
Japan,5,Akira Nishino,GK,Masaaki Higashiguchi
Japan,24,Akira Nishino,FW,Yoshinori Muto
Japan,27,Akira Nishino,MF,Takashi Inui
Japan,29,Akira Nishino,FW,Yuya Osako
Japan,42,Akira Nishino,MF,Hotaru Yamaguchi
Japan,110,Akira Nishino,MF,Makoto Hasebe
Japan,5,Akira Nishino,MF,Ryota Oshima
Japan,43,Akira Nishino,DF,Hiroki Sakai
Japan,32,Akira Nishino,DF,Tomoaki Makino
Japan,41,Akira Nishino,DF,Gotoku Sakai
Japan,82,Akira Nishino,DF,Maya Yoshida
Japan,4,Akira Nishino,GK,Kosuke Nakamura
Poland,35,Adam Nawalka,GK,Wojciech Szczesny
Poland,33,Adam Nawalka,DF,Michal Pazdan
Poland,36,Adam Nawalka,DF,Artur Jedrzejczyk
Poland,19,Adam Nawalka,DF,Thiago Cionek
Poland,3,Adam Nawalka,DF,Jan Bednarek
Poland,5,Adam Nawalka,MF,Jacek Goralski
Poland,40,Adam Nawalka,FW,Arkadiusz Milik
Poland,20,Adam Nawalka,MF,Karol Linetty
Poland,95,Adam Nawalka,FW,Robert Lewandowski
Poland,51,Adam Nawalka,MF,Grzegorz Krychowiak
Poland,57,Adam Nawalka,MF,Kamil Grosicki
Poland,1,Adam Nawalka,GK,Bartosz Bialkowski
Poland,51,Adam Nawalka,MF,Maciej Rybus
Poland,17,Adam Nawalka,FW,Lukasz Teodorczyk
Poland,57,Adam Nawalka,DF,Kamil Glik
Poland,99,Adam Nawalka,MF,Jakub Blaszczykowski
Poland,43,Adam Nawalka,MF,Slawomir Peszko
Poland,8,Adam Nawalka,DF,Bartosz Bereszynski
Poland,33,Adam Nawalka,MF,Piotr Zielinski
Poland,63,Adam Nawalka,DF,Lukasz Piszczek
Poland,3,Adam Nawalka,MF,Rafal Kurzawa
Poland,45,Adam Nawalka,GK,Lukasz Fabianski
Poland,2,Adam Nawalka,FW,Dawid Kownacki
Senegal,17,Aliou Cisse,GK,Abdoulaye Diallo
Senegal,18,Aliou Cisse,DF,Saliou Ciss
Senegal,26,Aliou Cisse,DF,Kalidou Koulibaly
Senegal,52,Aliou Cisse,DF,Kara Mbodji
Senegal,61,Aliou Cisse,MF,Idrissa Gueye
Senegal,22,Aliou Cisse,MF,Salif Sane
Senegal,51,Aliou Cisse,FW,Moussa Sow
Senegal,48,Aliou Cisse,MF,Cheikhou Kouyate
Senegal,49,Aliou Cisse,FW,Mame Biram Diouf
Senegal,53,Aliou Cisse,FW,Sadio Mane
Senegal,26,Aliou Cisse,MF,Cheikh N'Doye
Senegal,5,Aliou Cisse,DF,Youssouf Sabaly
Senegal,21,Aliou Cisse,MF,Alfred N'Diaye
Senegal,28,Aliou Cisse,FW,Moussa Konate
Senegal,12,Aliou Cisse,FW,Diafra Sakho
Senegal,26,Aliou Cisse,GK,Khadim N'Diaye
Senegal,20,Aliou Cisse,MF,Badou Ndiaye
Senegal,16,Aliou Cisse,FW,Ismaila Sarr
Senegal,7,Aliou Cisse,FW,M'Baye Niang
Senegal,19,Aliou Cisse,FW,Keita Balde
Senegal,36,Aliou Cisse,DF,Lamine Gassama
Senegal,10,Aliou Cisse,DF,Moussa Wague
Senegal,1,Aliou Cisse,GK,Alfred Gomis
