Year,DateTime,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation
1970,"21 Jun 1970 - 12:00 ",Final,Estadio Azteca,"Mexico City ",Brazil,4,1,Italy," "
1974,"13 Jun 1974 - 17:00 ",Group 2,Waldstadion,"Frankfurt/Main ",Brazil,0,0,Yugoslavia," "
1974,"14 Jun 1974 - 16:00 ",Group 1,Olympiastadion,"Berlin West ",Germany FR,1,0,Chile," "
1974,"14 Jun 1974 - 19:30 ",Group 1,Volksparkstadion,"Hamburg ",German DR,2,0,Australia," "
1974,"14 Jun 1974 - 19:30 ",Group 2,Westfalenstadion,"Dortmund ",Zaire,0,2,Scotland," "
1974,"15 Jun 1974 - 16:00 ",Group 3,Niedersachsenstadion,"Hanover ",Uruguay,0,2,Netherlands," "
1974,"15 Jun 1974 - 16:00 ",Group 3,Rheinstadion,"D�Sseldorf ",Sweden,0,0,Bulgaria," "
1974,"15 Jun 1974 - 18:00 ",Group 4,Olympiastadion,"Munich ",Italy,3,1,Haiti," "
1974,"15 Jun 1974 - 18:00 ",Group 4,Neckarstadion,"Stuttgart ",Poland,3,2,Argentina," "
1974,"18 Jun 1974 - 16:00 ",Group 1,Volksparkstadion,"Hamburg ",Australia,0,3,Germany FR," "
1974,"18 Jun 1974 - 19:30 ",Group 2,Waldstadion,"Frankfurt/Main ",Scotland,0,0,Brazil," "
1974,"18 Jun 1974 - 19:30 ",Group 1,Olympiastadion,"Berlin West ",Chile,1,1,German DR," "
1974,"18 Jun 1974 - 19:30 ",Group 2,Parkstadion,"Gelsenkirchen ",Yugoslavia,9,0,Zaire," "
1974,"19 Jun 1974 - 19:30 ",Group 3,Westfalenstadion,"Dortmund ",Netherlands,0,0,Sweden," "
1974,"19 Jun 1974 - 19:30 ",Group 3,Niedersachsenstadion,"Hanover ",Bulgaria,1,1,Uruguay," "
1974,"19 Jun 1974 - 19:30 ",Group 4,Olympiastadion,"Munich ",Haiti,0,7,Poland," "
1974,"19 Jun 1974 - 19:30 ",Group 4,Neckarstadion,"Stuttgart ",Argentina,1,1,Italy," "
1974,"22 Jun 1974 - 16:00 ",Group 2,Waldstadion,"Frankfurt/Main ",Scotland,1,1,Yugoslavia," "
1974,"22 Jun 1974 - 16:00 ",Group 1,Olympiastadion,"Berlin West ",Australia,0,0,Chile," "
1974,"22 Jun 1974 - 16:00 ",Group 2,Parkstadion,"Gelsenkirchen ",Zaire,0,3,Brazil," "
1974,"22 June 1974 - 19:30 ",Group 1,Volksparkstadion,"Hamburg ",German DR,1,0,Germany FR," "
1974,"23 Jun 1974 - 16:00 ",Group 3,Westfalenstadion,"Dortmund ",Bulgaria,1,4,Netherlands," "
1974,"23 Jun 1974 - 16:00 ",Group 4,Olympiastadion,"Munich ",Argentina,4,1,Haiti," "
1974,"23 Jun 1974 - 16:00 ",Group 3,Rheinstadion,"D�Sseldorf ",Sweden,3,0,Uruguay," "
1974,"23 Jun 1974 - 16:00 ",Group 4,Neckarstadion,"Stuttgart ",Poland,2,1,Italy," "
1974,"26 Jun 1974 - 16:00 ",Group B,Rheinstadion,"D�Sseldorf ",Yugoslavia,0,2,Germany FR," "
1974,"26 Jun 1974 - 19:30 ",Group A,Niedersachsenstadion,"Hanover ",Brazil,1,0,German DR," "
1974,"26 Jun 1974 - 19:30 ",Group A,Parkstadion,"Gelsenkirchen ",Netherlands,4,0,Argentina," "
1974,"26 Jun 1974 - 19:30 ",Group B,Neckarstadion,"Stuttgart ",Sweden,0,1,Poland," "
1974,"30 Jun 1974 - 16:00 ",Group A,Niedersachsenstadion,"Hanover ",Argentina,1,2,Brazil," "
1974,"30 Jun 1974 - 16:00 ",Group B,Waldstadion,"Frankfurt/Main ",Poland,2,1,Yugoslavia," "
1974,"30 Jun 1974 - 16:00 ",Group A,Parkstadion,"Gelsenkirchen ",German DR,0,2,Netherlands," "
1974,"30 Jun 1974 - 19:30 ",Group B,Rheinstadion,"D�Sseldorf ",Germany FR,4,2,Sweden," "
1974,"03 Jul 1974 - 17:00 ",Group B,Waldstadion,"Frankfurt/Main ",Poland,0,1,Germany FR," "
1974,"03 Jul 1974 - 19:30 ",Group A,Westfalenstadion,"Dortmund ",Netherlands,2,0,Brazil," "
1974,"03 Jul 1974 - 19:30 ",Group A,Parkstadion,"Gelsenkirchen ",Argentina,1,1,German DR," "
1974,"03 Jul 1974 - 19:30 ",Group B,Rheinstadion,"D�Sseldorf ",Sweden,2,1,Yugoslavia," "
1974,"06 Jul 1974 - 16:00 ",Match for third place,Olympiastadion,"Munich ",Brazil,0,1,Poland," "
1974,"07 July 1974 - 16:00 ",Final,Olympiastadion,"Munich ",Netherlands,1,2,Germany FR," "
1978,"01 Jun 1978 - 15:00 ",Group 2,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Germany FR,0,0,Poland," "
1978,"02 Jun 1978 - 13:45 ",Group 1,Estadio Jos� Mar�a Minella,"Mar Del Plata ",Italy,2,1,France," "
1978,"02 Jun 1978 - 16:45 ",Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,"Rosario ",Tunisia,3,1,Mexico," "
1978,"02 Jun 1978 - 19:15 ",Group 1,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Argentina,2,1,Hungary," "
1978,"03 Jun 1978 - 13:45 ",Group 3,Estadio Jos� Mar�a Minella,"Mar Del Plata ",Sweden,1,1,Brazil," "
1978,"03 Jun 1978 - 13:45 ",Group 3,Jose Amalfitani,"Buenos Aires ",Austria,2,1,Spain," "
1978,"03 Jun 1978 - 16:45 ",Group 4,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Peru,3,1,Scotland," "
1978,"03 Jun 1978 - 16:45 ",Group 4,San Martin,"Mendoza ",Netherlands,3,0,IR Iran," "
1978,"06 Jun 1978 - 13:45 ",Group 1,Estadio Jos� Mar�a Minella,"Mar Del Plata ",Italy,3,1,Hungary," "
1978,"06 Jun 1978 - 16:45 ",Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,"Rosario ",Poland,1,0,Tunisia," "
1978,"06 Jun 1978 - 16:45 ",Group 2,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Germany FR,6,0,Mexico," "
1978,"06 Jun 1978 - 19:15 ",Group 1,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Argentina,2,1,France," "
1978,"07 Jun 1978 - 13:45 ",Group 3,Estadio Jos� Mar�a Minella,"Mar Del Plata ",Brazil,0,0,Spain," "
1978,"07 Jun 1978 - 13:45 ",Group 3,Jose Amalfitani,"Buenos Aires ",Austria,1,0,Sweden," "
1978,"07 Jun 1978 - 16:45 ",Group 4,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Scotland,1,1,IR Iran," "
1978,"07 Jun 1978 - 16:45 ",Group 4,San Martin,"Mendoza ",Netherlands,0,0,Peru," "
1978,"10 Jun 1978 - 15:10 ",Group 1,Estadio Jos� Mar�a Minella,"Mar Del Plata ",France,3,1,Hungary," "
1978,"10 Jun 1978 - 16:45 ",Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,"Rosario ",Poland,3,1,Mexico," "
1978,"10 Jun 1978 - 16:45 ",Group 2,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Germany FR,0,0,Tunisia," "
1978,"10 Jun 1978 - 19:15 ",Group 1,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Italy,1,0,Argentina," "
1978,"11 Jun 1978 - 13:45 ",Group 3,Estadio Jos� Mar�a Minella,"Mar Del Plata ",Brazil,1,0,Austria," "
1978,"11 Jun 1978 - 13:45 ",Group 3,Jose Amalfitani,"Buenos Aires ",Spain,1,0,Sweden," "
1978,"11 Jun 1978 - 16:45 ",Group 4,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Peru,4,1,Iran," "
1978,"11 Jun 1978 - 16:45 ",Group 4,San Martin,"Mendoza ",Scotland,3,2,Netherlands," "
1978,"14 Jun 1978 - 13:45 ",Group A,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Germany FR,0,0,Italy," "
1978,"14 Jun 1978 - 13:45 ",Group A,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Netherlands,5,1,Austria," "
1978,"14 Jun 1978 - 16:45 ",Group B,San Martin,"Mendoza ",Brazil,3,0,Peru," "
1978,"14 Jun 1978 - 19:15 ",Group B,Arroyito - Estadio Dr. Lisandro de la Torre,"Rosario ",Argentina,2,0,Poland," "
1978,"18 Jun 1978 - 13:45 ",Group B,San Martin,"Mendoza ",Poland,1,0,Peru," "
1978,"18 Jun 1978 - 16:45 ",Group A,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Italy,1,0,Austria," "
1978,"18 Jun 1978 - 16:45 ",Group A,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Germany FR,2,2,Netherlands," "
1978,"18 Jun 1978 - 19:15 ",Group B,Arroyito - Estadio Dr. Lisandro de la Torre,"Rosario ",Argentina,0,0,Brazil," "
1978,"21 Jun 1978 - 13:45 ",Group A,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Netherlands,2,1,Italy," "
1978,"21 Jun 1978 - 13:45 ",Group A,Estadio Ol�mpico Chateau Carreras,"Cordoba ",Austria,3,2,Germany FR," "
1978,"21 Jun 1978 - 16:45 ",Group B,San Martin,"Mendoza ",Brazil,3,1,Poland," "
1978,"21 Jun 1978 - 19:15 ",Group B,Arroyito - Estadio Dr. Lisandro de la Torre,"Rosario ",Argentina,6,0,Peru," "
1978,"24 Jun 1978 - 15:00 ",Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Brazil,2,1,Italy," "
1978,"25 Jun 1978 - 15:00 ",Final,El Monumental - Estadio Monumental Antonio Vespuci,"Buenos Aires ",Argentina,3,1,Netherlands,"Argentina win after extra time "
1982,"13 Jun 1982 - 20:00 ",Group 3,Camp Nou,"Barcelona ",Argentina,0,1,Belgium," "
1982,"14 Jun 1982 - 17:15 ",Group 1,Estadio Municipal de Bala�dos,"Vigo ",Italy,0,0,Poland," "
1982,"14 Jun 1982 - 21:00 ",Group 6,Ramon Sanchez Pizjuan,"Seville ",Brazil,2,1,Soviet Union," "
1982,"15 Jun 1982 - 17:15 ",Group 1,Riazor,"La Coru�A ",Peru,0,0,Cameroon," "
1982,"15 Jun 1982 - 21:00 ",Group 3,Nuevo Estadio,"Elche ",Hungary,10,1,El Salvador," "
1982,"15 Jun 1982 - 21:00 ",Group 6,La Rosaleda,"Malaga ",Scotland,5,2,New Zealand," "
1982,"16 Jun 1982 - 17:15 ",Group 2,El Molinon,"Gijon ",Germany FR,1,2,Algeria," "
1982,"16 Jun 1982 - 17:15 ",Group 4,San Mames,"Bilbao ",England,3,1,France," "
1982,"16 Jun 1982 - 21:00 ",Group 5,Luis Casanova,"Valencia ",Spain,1,1,Honduras," "
1982,"17 Jun 1982 - 17:15 ",Group 2,Carlos Tartiere,"Oviedo ",Chile,0,1,Austria," "
1982,"17 Jun 1982 - 17:45 ",Group 4,Jose Zorrilla,"Valladolid ",Czechoslovakia,1,1,Kuwait," "
1982,"17 Jun 1982 - 21:00 ",Group 5,La Romareda,"Zaragoza ",Yugoslavia,0,0,," "
1982,"18 Jun 1982 - 17:15 ",Group 1,Estadio Municipal de Bala�dos,"Vigo ",Italy,1,1,Peru," "
1982,"18 Jun 1982 - 21:00 ",Group 3,Jose Rico Perez,"Alicante ",Argentina,4,1,Hungary," "
1982,"18 Jun 1982 - 21:00 ",Group 6,Benito Villamarin,"Seville ",Brazil,4,1,Scotland," "
1982,"19 Jun 1982 - 19:15 ",Group 1,Riazor,"La Coru�A ",Poland,0,0,Cameroon," "
1982,"19 Jun 1982 - 21:00 ",Group 3,Nuevo Estadio,"Elche ",Belgium,1,0,El Salvador," "
1982,"19 Jun 1982 - 21:00 ",Group 6,La Rosaleda,"Malaga ",Soviet Union,3,0,New Zealand," "
1982,"20 Jun 1982 - 17:15 ",Group 2,El Molinon,"Gijon ",Germany FR,4,1,Chile," "
1982,"20 Jun 1982 - 17:15 ",Group 4,San Mames,"Bilbao ",England,2,0,Czechoslovakia," "
1982,"20 Jun 1982 - 21:00 ",Group 5,Luis Casanova,"Valencia ",Spain,2,1,Yugoslavia," "
1982,"21 Jun 1982 - 17:15 ",Group 2,Carlos Tartiere,"Oviedo ",Algeria,0,2,Austria," "
1982,"21 Jun 1982 - 17:15 ",Group 4,Jose Zorrilla,"Valladolid ",France,4,1,Kuwait," "
1982,"21 Jun 1982 - 21:00 ",Group 5,La Romareda,"Zaragoza ",Honduras,1,1,," "
1982,"22 Jun 1982 - 17:15 ",Group 1,Riazor,"La Coru�A ",Poland,5,1,Peru," "
1982,"22 Jun 1982 - 21:00 ",Group 3,Nuevo Estadio,"Elche ",Belgium,1,1,Hungary," "
1982,"22 Jun 1982 - 21:00 ",Group 6,La Rosaleda,"Malaga ",Soviet Union,2,2,Scotland," "
1982,"23 Jun 1982 - 17:15 ",Group 1,Estadio Municipal de Bala�dos,"Vigo ",Italy,1,1,Cameroon," "
1982,"23 Jun 1982 - 21:00 ",Group 3,Jose Rico Perez,"Alicante ",Argentina,2,0,El Salvador," "
1982,"23 Jun 1982 - 21:00 ",Group 6,Benito Villamarin,"Seville ",Brazil,4,0,New Zealand," "
1982,"24 Jun 1982 - 17:15 ",Group 2,Carlos Tartiere,"Oviedo ",Algeria,3,2,Chile," "
1982,"24 Jun 1982 - 17:15 ",Group 4,Jose Zorrilla,"Valladolid ",France,1,1,Czechoslovakia," "
1982,"24 Jun 1982 - 21:00 ",Group 5,La Romareda,"Zaragoza ",Honduras,0,1,Yugoslavia," "
1982,"25 Jun 1982 - 17:15 ",Group 2,El Molinon,"Gijon ",Germany FR,1,0,Austria," "
1982,"25 Jun 1982 - 17:15 ",Group 4,San Mames,"Bilbao ",England,1,0,Kuwait," "
1982,"25 Jun 1982 - 21:00 ",Group 5,Luis Casanova,"Valencia ",,1,0,Spain," "
1982,"28 Jun 1982 - 17:15 ",Group 4,Vicente Calderon,"Madrid ",Austria,0,1,France," "
1982,"28 Jun 1982 - 21:00 ",Group 1,Camp Nou,"Barcelona ",Poland,3,0,Belgium," "
1982,"29 Jun 1982 - 17:15 ",Group 3,Sarria,"Barcelona ",Italy,2,1,Argentina," "
1982,"29 Jun 1982 - 21:00 ",Group 2,Santiago Bernabeu,"Madrid ",Germany FR,0,0,England," "
1982,"01 Jul 1982 - 17:15 ",Group 4,Vicente Calderon,"Madrid ",Austria,2,2,," "
1982,"01 Jul 1982 - 21:00 ",Group 1,Camp Nou,"Barcelona ",Belgium,0,1,Soviet Union," "
1982,"02 Jul 1982 - 17:15 ",Group 3,Sarria,"Barcelona ",Argentina,1,3,Brazil," "
1982,"02 Jul 1982 - 21:00 ",Group 2,Santiago Bernabeu,"Madrid ",Germany FR,2,1,Spain," "
1982,"04 Jul 1982 - 17:15 ",Group 4,Vicente Calderon,"Madrid ",France,4,1,," "
1982,"04 Jul 1982 - 21:00 ",Group 1,Camp Nou,"Barcelona ",Poland,0,0,Soviet Union," "
1982,"05 Jul 1982 - 17:15 ",Group 3,Sarria,"Barcelona ",Italy,3,2,Brazil," "
1982,"05 Jul 1982 - 21:00 ",Group 2,Santiago Bernabeu,"Madrid ",Spain,0,0,England," "
1982,"08 Jul 1982 - 17:15 ",Semi-finals,Camp Nou,"Barcelona ",Poland,0,2,Italy," "
1982,"08 Jul 1982 - 21:00 ",Semi-finals,Ramon Sanchez Pizjuan,"Seville ",Germany FR,3,3,France," win on penalties (5 - 4) "
1982,"10 Jul 1982 - 20:00 ",Match for third place,Jose Rico Perez,"Alicante ",Poland,3,2,France," "
1982,"11 Jul 1982 - 20:00 ",Final,Santiago Bernabeu,"Madrid ",Italy,3,1,Germany FR," "
1986,"31 May 1986 - 12:00 ",Group A,Estadio Azteca,"Mexico City ",Bulgaria,1,1,Italy," "
1986,"01 Jun 1986 - 16:00 ",Group C,Nou Camp - Estadio Le�n,"Leon ",Canada,0,1,France," "
1986,"01 Jun 1986 - 12:00 ",Group D,Jalisco,"Guadalajara ",Spain,0,1,Brazil," "
1986,"02 Jun 1986 - 12:00 ",Group C,Estadio Irapuato,"Irapuato ",Soviet Union,6,0,Hungary," "
1986,"02 Jun 1986 - 12:00 ",Group A,Estadio Ol�mpico Universitario,"Mexico City ",Argentina,3,1,Korea Republic," "
1986,"02 Jun 1986 - 16:00 ",Group F,Estadio Universitario,"Monterrey ",Morocco,0,0,Poland," "
1986,"03 Jun 1986 - 12:00 ",Group D,Tres de Marzo,"Guadalajara ",Algeria,1,1,," "
1986,"03 Jun 1986 - 12:00 ",Group B,Estadio Azteca,"Mexico City ",Belgium,1,2,Mexico," "
1986,"03 Jun 1986 - 16:00 ",Group F,Tecnologico,"Monterrey ",Portugal,1,0,England," "
1986,"04 Jun 1986 - 12:00 ",Group B,Bombonera - Estadio Nemesio Diez,"Toluca ",Paraguay,1,0,Iraq," "
1986,"04 Jun 1986 - 16:00 ",Group E,Neza,"Nezahualcoyotl ",Scotland,0,1,Denmark," "
1986,"04 Jun 1986 - 12:00 ",Group E,Estadio Corregidora,"Queretaro ",Uruguay,1,1,Germany FR," "
1986,"05 Jun 1986 - 12:00 ",Group A,Cuauhtemoc,"Puebla ",Italy,1,1,Argentina," "
1986,"05 Jun 1986 - 12:00 ",Group C,Nou Camp - Estadio Le�n,"Leon ",France,1,1,Soviet Union," "
1986,"05 Jun 1986 - 16:00 ",Group A,Estadio Ol�mpico Universitario,"Mexico City ",Korea Republic,1,1,Bulgaria," "
1986,"06 Jun 1986 - 12:00 ",Group C,Estadio Irapuato,"Irapuato ",Hungary,2,0,Canada," "
1986,"06 Jun 1986 - 12:00 ",Group D,Jalisco,"Guadalajara ",Brazil,1,0,Algeria," "
1986,"06 Jun 1986 - 16:00 ",Group F,Tecnologico,"Monterrey ",England,0,0,Morocco," "
1986,"07 Jun 1986 - 12:00 ",Group D,Tres de Marzo,"Guadalajara ",,1,2,Spain," "
1986,"07 Jun 1986 - 12:00 ",Group B,Estadio Azteca,"Mexico City ",Mexico,1,1,Paraguay," "
1986,"07 Jun 1986 - 16:00 ",Group F,Estadio Universitario,"Monterrey ",Poland,1,0,Portugal," "
1986,"08 Jun 1986 - 12:00 ",Group B,Bombonera - Estadio Nemesio Diez,"Toluca ",Iraq,1,2,Belgium," "
1986,"08 Jun 1986 - 16:00 ",Group E,Neza,"Nezahualcoyotl ",Denmark,6,1,Uruguay," "
1986,"08 Jun 1986 - 12:00 ",Group E,Estadio Corregidora,"Queretaro ",Germany FR,2,1,Scotland," "
1986,"09 Jun 1986 - 12:00 ",Group C,Nou Camp - Estadio Le�n,"Leon ",Hungary,0,3,France," "
1986,"09 Jun 1986 - 12:00 ",Group C,Estadio Irapuato,"Irapuato ",Soviet Union,2,0,Canada," "
1986,"10 Jun 1986 - 12:00 ",Group A,Cuauhtemoc,"Puebla ",Korea Republic,2,3,Italy," "
1986,"10 Jun 1986 - 12:00 ",Group A,Estadio Ol�mpico Universitario,"Mexico City ",Argentina,2,0,Bulgaria," "
1986,"11 Jun 1986 - 12:00 ",Group B,Bombonera - Estadio Nemesio Diez,"Toluca ",Paraguay,2,2,Belgium," "
1986,"11 Jun 1986 - 12:00 ",Group B,Estadio Azteca,"Mexico City ",Iraq,0,1,Mexico," "
1986,"11 Jun 1986 - 16:00 ",Group F,Tres de Marzo,"Guadalajara ",Portugal,1,3,Morocco," "
1986,"11 Jun 1986 - 16:00 ",Group F,Tecnologico,"Monterrey ",England,3,0,Poland," "
1986,"12 Jun 1986 - 12:00 ",Group D,Jalisco,"Guadalajara ",,0,3,Brazil," "
1986,"12 Jun 1986 - 12:00 ",Group D,Tecnologico,"Monterrey ",Algeria,0,3,Spain," "
1986,"13 Jun 1986 - 12:00 ",Group E,Neza,"Nezahualcoyotl ",Scotland,0,0,Uruguay," "
1986,"13 Jun 1986 - 12:00 ",Group E,Estadio Corregidora,"Queretaro ",Denmark,2,0,Germany FR," "
1986,"15 Jun 1986 - 16:00 ",Round of 16,Nou Camp - Estadio Le�n,"Leon ",Soviet Union,3,4,Belgium,"Belgium win after extra time "
1986,"15 Jun 1986 - 12:00 ",Round of 16,Estadio Azteca,"Mexico City ",Mexico,2,0,Bulgaria," "
1986,"16 Jun 1986 - 16:00 ",Round of 16,Cuauhtemoc,"Puebla ",Argentina,1,0,Uruguay," "
1986,"16 Jun 1986 - 12:00 ",Round of 16,Jalisco,"Guadalajara ",Brazil,4,0,Poland," "
1986,"17 Jun 1986 - 12:00 ",Round of 16,Estadio Ol�mpico Universitario,"Mexico City ",Italy,0,2,France," "
1986,"17 Jun 1986 - 16:00 ",Round of 16,Estadio Universitario,"Monterrey ",Morocco,0,1,Germany FR," "
1986,"18 Jun 1986 - 12:00 ",Round of 16,Estadio Azteca,"Mexico City ",England,3,0,Paraguay," "
1986,"18 Jun 1986 - 16:00 ",Round of 16,Estadio Corregidora,"Queretaro ",Denmark,1,5,Spain," "
1986,"21 Jun 1986 - 12:00 ",Quarter-finals,Jalisco,"Guadalajara ",Brazil,1,1,France,"France win on penalties (3 - 4) "
1986,"21 Jun 1986 - 16:00 ",Quarter-finals,Estadio Universitario,"Monterrey ",Germany FR,0,0,Mexico,"Germany FR win on penalties (4 - 1) "
1986,"22 Jun 1986 - 16:00 ",Quarter-finals,Cuauhtemoc,"Puebla ",Spain,1,1,Belgium,"Belgium win on penalties (4 - 5) "
1986,"22 Jun 1986 - 12:00 ",Quarter-finals,Estadio Azteca,"Mexico City ",Argentina,2,1,England," "
1986,"25 Jun 1986 - 12:00 ",Semi-finals,Jalisco,"Guadalajara ",France,0,2,Germany FR," "
1986,"25 Jun 1986 - 16:00 ",Semi-finals,Estadio Azteca,"Mexico City ",Argentina,2,0,Belgium," "
1986,"28 Jun 1986 - 12:00 ",Match for third place,Cuauhtemoc,"Puebla ",France,4,2,Belgium,"France win after extra time "
1986,"29 Jun 1986 - 12:00 ",Final,Estadio Azteca,"Mexico City ",Argentina,3,2,Germany FR," "
1990,"08 Jun 1990 - 18:00 ",Group B,Giuseppe Meazza,"Milan ",Argentina,0,1,Cameroon," "
1990,"09 Jun 1990 - 17:00 ",Group B,Stadio San Nicola,"Bari ",Soviet Union,0,2,Romania," "
1990,"09 Jun 1990 - 17:00 ",Group D,Renato Dall Ara,"Bologna ",United Arab Emirates,0,2,Colombia," "
1990,"09 Jun 1990 - 21:00 ",Group A,Stadio Olimpico,"Rome ",Italy,1,0,Austria," "
1990,"10 Jun 1990 - 17:00 ",Group A,Comunale,"Florence ",USA,1,5,Czechoslovakia," "
1990,"10 Jun 1990 - 21:00 ",Group C,Stadio delle Alpi,"Turin ",Brazil,2,1,Sweden," "
1990,"10 Jun 1990 - 21:00 ",Group D,Giuseppe Meazza,"Milan ",Germany FR,4,1,Yugoslavia," "
1990,"11 Jun 1990 - 17:00 ",Group C,Luigi Ferraris,"Genoa ",Costa Rica,1,0,Scotland," "
1990,"11 Jun 1990 - 21:00 ",Group F,Sant Elia,"Cagliari ",England,1,1,Republic of Ireland," "
1990,"12 Jun 1990 - 17:00 ",Group E,Marc Antonio Bentegodi,"Verona ",Belgium,2,0,Korea Republic," "
1990,"12 Jun 1990 - 21:00 ",Group F,Della Favorita,"Palermo ",Netherlands,1,1,Egypt," "
1990,"13 Jun 1990 - 17:00 ",Group E,Dacia Arena,"Udine ",Uruguay,0,0,Spain," "
1990,"13 Jun 1990 - 21:00 ",Group B,San Paolo,"Naples ",Argentina,2,0,Soviet Union," "
1990,"14 Jun 1990 - 17:00 ",Group B,Stadio San Nicola,"Bari ",Cameroon,2,1,Romania," "
1990,"14 Jun 1990 - 17:00 ",Group D,Renato Dall Ara,"Bologna ",Yugoslavia,1,0,Colombia," "
1990,"14 Jun 1990 - 21:00 ",Group A,Stadio Olimpico,"Rome ",Italy,1,0,USA," "
1990,"15 Jun 1990 - 17:00 ",Group A,Comunale,"Florence ",Austria,0,1,Czechoslovakia," "
1990,"15 Jun 1990 - 21:00 ",Group D,Giuseppe Meazza,"Milan ",Germany FR,5,1,United Arab Emirates," "
1990,"16 Jun 1990 - 17:00 ",Group C,Stadio delle Alpi,"Turin ",Brazil,1,0,Costa Rica," "
1990,"16 Jun 1990 - 21:00 ",Group C,Luigi Ferraris,"Genoa ",Sweden,1,2,Scotland," "
1990,"16 Jun 1990 - 21:00 ",Group F,Sant Elia,"Cagliari ",England,0,0,Netherlands," "
1990,"17 Jun 1990 - 17:00 ",Group F,Della Favorita,"Palermo ",Republic of Ireland,0,0,Egypt," "
1990,"17 Jun 1990 - 21:00 ",Group E,Dacia Arena,"Udine ",Korea Republic,1,3,Spain," "
1990,"17 Jun 1990 - 21:00 ",Group E,Marc Antonio Bentegodi,"Verona ",Belgium,3,1,Uruguay," "
1990,"18 Jun 1990 - 21:00 ",Group B,San Paolo,"Naples ",Argentina,1,1,Romania," "
1990,"18 Jun 1990 - 21:00 ",Group B,Stadio San Nicola,"Bari ",Cameroon,0,4,Soviet Union," "
1990,"19 Jun 1990 - 17:00 ",Group D,Giuseppe Meazza,"Milan ",Germany FR,1,1,Colombia," "
1990,"19 Jun 1990 - 17:00 ",Group D,Renato Dall Ara,"Bologna ",Yugoslavia,4,1,United Arab Emirates," "
1990,"19 Jun 1990 - 21:00 ",Group A,Stadio Olimpico,"Rome ",Italy,2,0,Czechoslovakia," "
1990,"19 Jun 1990 - 21:00 ",Group A,Comunale,"Florence ",Austria,2,1,USA," "
1990,"20 Jun 1990 - 21:00 ",Group C,Stadio delle Alpi,"Turin ",Brazil,1,0,Scotland," "
1990,"20 Jun 1990 - 21:00 ",Group C,Luigi Ferraris,"Genoa ",Sweden,1,2,Costa Rica," "
1990,"21 Jun 1990 - 17:00 ",Group E,Friuli,"Udine ",Korea Republic,0,1,Uruguay," "
1990,"21 Jun 1990 - 17:00 ",Group E,Marc Antonio Bentegodi,"Verona ",Belgium,1,2,Spain," "
1990,"21 Jun 1990 - 21:00 ",Group F,Della Favorita,"Palermo ",Republic of Ireland,1,1,Netherlands," "
1990,"21 Jun 1990 - 21:00 ",Group F,Sant Elia,"Cagliari ",England,1,0,Egypt," "
1990,"23 Jun 1990 - 17:00 ",Round of 16,San Paolo,"Naples ",Cameroon,2,1,Colombia,"Cameroon win after extra time "
1990,"23 Jun 1990 - 21:00 ",Round of 16,Stadio San Nicola,"Bari ",Czechoslovakia,4,1,Costa Rica," "
1990,"24 Jun 1990 - 17:00 ",Round of 16,Stadio delle Alpi,"Turin ",Brazil,0,1,Argentina," "
1990,"24 Jun 1990 - 21:00 ",Round of 16,Giuseppe Meazza,"Milan ",Germany FR,2,1,Netherlands," "
1990,"25 Jun 1990 - 17:00 ",Round of 16,Luigi Ferraris,"Genoa ",Republic of Ireland,0,0,Romania,"Republic of Ireland win on penalties (5 - 4) "
1990,"25 Jun 1990 - 21:00 ",Round of 16,Stadio Olimpico,"Rome ",Italy,2,0,Uruguay," "
1990,"26 Jun 1990 - 17:00 ",Round of 16,Marc Antonio Bentegodi,"Verona ",Spain,1,2,Yugoslavia,"Yugoslavia win after extra time "
1990,"26 Jun 1990 - 21:00 ",Round of 16,Renato Dall Ara,"Bologna ",England,1,0,Belgium,"England win after extra time "
1990,"30 Jun 1990 - 17:00 ",Quarter-finals,Comunale,"Florence ",Yugoslavia,0,0,Argentina," win on penalties (2 - 3) "
1990,"30 Jun 1990 - 21:00 ",Quarter-finals,Stadio Olimpico,"Rome ",Italy,1,0,Republic of Ireland," "
1990,"01 Jul 1990 - 17:00 ",Quarter-finals,Giuseppe Meazza,"Milan ",Germany FR,1,0,Czechoslovakia," "
